Headline,URL
UN Security Council backs US Israel-Gaza ceasefire plan,https://www.bbc.com/news/articles/cw448x7lxggo
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o
Netanyahu walks tightrope as US urges Gaza ceasefire deal,https://www.bbc.com/news/articles/c511vl9yjwwo
Warning shots from South as NK soldiers cross border,https://www.bbc.com/news/articles/c511ve3051po
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o
Singapore Airlines turbulence victims offered payouts,https://www.bbc.com/news/articles/cpwwy3wq5p6o
Eight more die as India faces longest heatwave,https://www.bbc.com/news/articles/cz77jkk420lo
"Fire at famous Bangkok market kills 1,000 animals",https://www.bbc.com/news/articles/cw44gm303wro
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o
BMW China parts probe expanded by US Senate panel,https://www.bbc.com/news/articles/crgg7p95jdgo
"Malawi VP's plane may have crashed in forest, army says",https://www.bbc.com/news/articles/c722vpp1ndro
YouTube prankster elected to European Parliament,https://www.bbc.com/news/articles/c4nnrwr72dqo
Apple brings ChatGPT to iPhones in AI overhaul,https://www.bbc.com/news/articles/c4nn5mejl89o
"Gary Glitter told to pay victim £508,000 damages",https://www.bbc.com/news/articles/cyjjg4ljmkgo
Features and analysis,https://www.bbc.com/news/articles/cpww6w412n7o
Why the EU might be about to make Chinese electric cars more expensive,https://www.bbc.com/news/articles/cpww6w412n7o
A cartoon cat has been vexing China’s censors – now he says they are on his tail,https://www.bbc.com/news/articles/cv2260z4ny6o
"Drugs, alcohol and a gun: Inside Hunter Biden's trial",https://www.bbc.com/news/videos/c7221r0v5q7o
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o
Why voters fall out of love with liberation movements,https://www.bbc.com/news/articles/c166zlx6354o
A cartoon cat has been vexing China’s censors – now he says they are on his tail,https://www.bbc.com/news/articles/cv2260z4ny6o
Five ways Michael Mosley made us healthier,https://www.bbc.com/news/articles/c1wwv0405wyo
Hardliners dominate Iran presidential candidates,https://www.bbc.com/news/articles/cy66y5xgjqgo
